AbilitecContactID,PolicyNumber,DriverNumber,AbilitecHouseholdID,DriverCount,ClaimCount,TotalPaid,ClaimNumber,AtFaultDescription,ClaimStatus,ClaimType,DateOfLoss,DriverID,LossState,PolicyStateCode,SubrogrationFlag,TermEffectiveDate,VehicleID,ClaimTransCount,ClaimTransPaidLoss,DaysToClaim,DaysToClaim_h
04ZJUS02EXPR09CB,Q080MDE1MTY2,1,04ZJUS0300X496LW,4,1,5086.61,PA0002364104,No fault,C,HAIL,2018-08-06 00:00:00,98,CO,CO,NO,2018-05-29 00:00:00,1,9.0,5086.61,0.0,0.0
04ZJUS0146KL4TTS,Q080MDEwOTEx,1,04ZJUS035SBF0GJ4,2,1,0.0,PA0002351705,Insured at fault,C,PG_IVREARENDCV,2018-05-24 00:00:00,1,CO,CO,NO,2018-05-24 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS02K2KC7DMW,Q080MDExOTIz,1,04ZJUS035ZXBZEH1,2,1,21397.74,PA0002344011,Insured at fault,C,PG_COLLISIONINTERSECTION,2018-06-17 00:00:00,1,CO,CO,NO,2018-05-25 00:00:00,1,53.0,21397.74,0.0,0.0
04ZJUS022XH2NVJ5,Q080MDIyMDcw,1,04ZJUS038P3W5KKR,5,3,0.0,PA0002348918,No fault,C,HAIL,2018-06-19 00:00:00,98,CO,CO,YES,2018-06-01 00:00:00,2,14.0,0.0,0.0,0.0
04ZJUS022XH2NVJ5,Q080MDIyMDcw,1,04ZJUS038P3W5KKR,5,3,0.0,PA0002348997,No fault,C,GLASSBREAKAGE,2018-06-30 00:00:00,1,CO,CO,NO,2018-06-01 00:00:00,2,1.0,0.0,0.0,0.0
04ZJUS022XH2NVJ5,Q080MDIyMDcw,1,04ZJUS038P3W5KKR,5,3,0.0,PA0002422485,Other party at fault,C,PG_COLLISIONMERGE,2019-01-24 00:00:00,1,CO,CO,NO,2018-06-01 00:00:00,4,8.0,0.0,0.0,0.0
04ZJUS01PJ7NYRPY,Q080MDMyMTI3,1,04ZJUS03XZ9CZ9TP,1,1,0.0,PA0002463717,Other party at fault,C,PG_PARKED,2019-05-15 00:00:00,1,CO,CO,NO,2018-06-09 00:00:00,1,1.0,0.0,0.0,0.0
04ZJUS02RKNCKKL6,Q080MDQ4Nzc5,1,04ZJUS03GK738FJ5,4,2,139.9,PA0002385291,No fault,C,GLASSBREAKAGE,2018-10-10 00:00:00,1,CO,CO,NO,2018-06-23 00:00:00,1,6.0,69.95,0.0,0.0
04ZJUS02RKNCKKL6,Q080MDQ4Nzc5,1,04ZJUS03GK738FJ5,4,2,139.9,PA0002388885,No fault,C,GLASSBREAKAGE,2018-10-20 00:00:00,1,CO,CO,NO,2018-06-23 00:00:00,1,6.0,69.95,0.0,0.0
04ZJUS02PS9TJJXS,Q080MDQwNTI5,1,04ZJUS03JF9GYQND,2,1,1437.07,PA0002452212,Insured at fault,C,PG_COLLISIONBACKING,2019-04-13 00:00:00,1,CO,CO,NO,2018-06-16 00:00:00,1,6.0,1437.07,0.0,0.0
04ZJUS026STJG2PT,Q080MDY4MjY1,1,04ZJUS033436R4TN,2,1,11456.91,PA0002361732,No fault,C,HAIL,2018-08-06 00:00:00,98,CO,CO,NO,2018-07-09 00:00:00,1,12.0,11456.91,0.0,0.0
04ZJUS01QC80SBL7,Q080MDY4NzAz,1,04ZJUS031QPF6XSX,1,1,3433.3,PA0002427670,Insured at fault,C,PG_IVREARENDCV,2019-02-08 00:00:00,1,CO,CO,NO,2019-01-09 00:00:00,2,20.0,3433.3,0.0,0.0
04ZJUS02RG6MYNNW,Q080MDYxMDI0,1,04ZJUS03BCN64BJJ,2,1,0.0,PA0002417153,Other party at fault,C,PG_COLLISIONINTERSECTION,2018-12-28 00:00:00,1,CO,CO,NO,2018-07-03 00:00:00,1,1.0,0.0,148.0,3552.0
04ZJUS0273X4EHYS,Q080MDg1MDg5,1,04ZJUS03BEW246J3,1,2,4155.0,PA0002389427,Insured at fault,C,VEHCOLLISION,2018-10-21 00:00:00,1,CO,CO,NO,2018-07-21 00:00:00,1,7.0,4155.0,0.0,0.0
04ZJUS0273X4EHYS,Q080MDg1MDg5,1,04ZJUS03BEW246J3,1,2,4155.0,PA0002466409,Other party at fault,C,PG_COLLISIONBACKING,2019-05-22 00:00:00,1,CO,CO,NO,2019-01-21 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS01874XS6QR,Q080MDg5MDgz,1,04ZJUS03B20H988F,1,1,0.0,PA0002358983,Other party at fault,C,PG_COLLISIONWITHPARKEDCAR,2018-07-28 00:00:00,1,WY,CO,YES,2018-07-23 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS015933D8K2,Q080MDg5Nzc4,1,04ZJUS03G20E0C3Q,1,1,7666.59,PA0002455102,Insured at fault,C,LEFTCOLLISION,2019-04-23 00:00:00,1,CO,CO,NO,2018-07-24 00:00:00,1,33.0,7666.59,0.0,0.0
04ZJUS11713BL2LB,Q080MTA4NTYw,1,04ZJUS139H2NDX9Q,1,1,3789.32,PA0002402039,Insured at fault,C,VEHCOLLISION,2018-11-24 00:00:00,1,CO,CO,NO,2018-08-04 00:00:00,1,7.0,3789.32,0.0,0.0
04ZJUS010E8WKV0F,Q080MTE1NTg2,1,04ZJUS031N85RGWN,1,1,2862.01,PA0002444543,Insured at fault,C,PG_COLLISIONINTERSECTION,2019-03-26 00:00:00,1,CO,CO,NO,2018-08-09 00:00:00,2,10.0,2862.01,0.0,0.0
04ZJUS02EXN228YE,Q080MTIxMzQ0,1,04ZJUS0379T10FH0,3,1,1196.35,PA0002406999,No fault,C,VANDALISM,2018-12-07 00:00:00,98,CO,CO,NO,2018-08-13 00:00:00,1,12.0,1196.35,0.0,0.0
04ZJUS021N9F69M5,Q080MTIyMzE0,1,04ZJUS0399Q3ZP5P,6,1,3656.95,PA0002456310,Insured at fault,C,PG_HIT_RUN,2019-04-26 00:00:00,1,CO,CO,NO,2018-08-14 00:00:00,1,34.0,3656.95,0.0,0.0
04ZJUS01BHYC46ML,Q080MTMxODg4,1,04ZJUS03JBGGDN8D,2,1,0.0,PA0002428796,Other party at fault,C,PG_COLLISIONMERGE,2019-02-11 00:00:00,1,CO,CO,YES,2018-08-20 00:00:00,1,10.0,0.0,0.0,0.0
04ZJUS02CX7B26J5,Q080MTQzNDA2,1,04ZJUS03PJ9TDY2M,5,1,0.0,PA0002381805,Insured at fault,C,PG_IVREARENDCV,2018-10-01 00:00:00,2,CO,CO,NO,2018-08-28 00:00:00,1,4.0,0.0,0.0,0.0
04ZJUS02GK9YJ0LJ,Q080MTU2MzIy,1,04ZJUS03WZMXZCH2,1,1,0.0,PA0002435033,No fault,C,FIXEDOBJCOLL,2019-02-14 00:00:00,99,CO,CO,NO,2018-09-05 00:00:00,2,1.0,0.0,10.0,240.0
